uniqueID,DPD0R1,DPD0R2,DPD0R3,DPD1R1,DPD1R2,DPD1R3,DPD3R1,DPD3R2,DPD3R3,DPD7R1,DPD7R2,DPD7R3,DAD0R1,DAD0R2,DAD0R3,DAD1R1,DAD1R2,DAD1R3,DAD3R1,DAD3R2,DAD3R3,DAD7R1,DAD7R2,DAD7R3
1,12968378,12109546,12889863,13547220,12610160,12363350,14331338,12206227,11897473,14429507,12314362,12007748,0,0,0,0,0,0,0,0,0,0,0,0
2,179715111,168716306,172987382,182432571,172031965,167138976,186411767,166510814,164555728,185327495,163441358,157564810,395898,336228,332450,298288,323551,476969,399524,409573,412664,366892,402450,438811
3,220476339,206818874,222438879,225979379,216472798,209053410,235214665,206504216,210756923,234212025,206335842,198114435,388802,401457,487978,449974,621363,547453,415540,359329,597383,562341,294230,405918
4,39431412,35468909,36930073,40293315,37786865,35542648,42057836,37045712,36905316,40930608,36577868,35851317,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217025,324156,223904,154264,202815,234239,177207,334588,382255
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159676,0,0,0,0,0,0,0,0
7,32787380,30687328,32014485,33482425,31880053,30669377,35729094,31299164,30821265,35955272,31091800,29976677,0,0,0,0,0,0,0,0,0,0,0,0
8,9860504,8954108,9790568,9674412,9272920,8897949,10335750,8813285,8966926,10329792,8856541,8254133,0,0,0,0,0,0,0,0,0,0,0,0
9,4243812,4148548,4478830,4473391,4246112,4131791,4855906,3982392,4305908,5120777,4354916,4189779,0,0,0,0,0,0,0,0,0,0,0,0
10,1551652,1521367,1465641,2268648,2108999,1906868,2645457,2226827,2386980,3063491,2827585,2420476,0,0,0,0,0,0,0,0,0,0,0,0
11,39602992,37216556,40743719,40318336,38960905,38916072,42485917,37981718,38829088,41585294,37675577,37178505,0,0,0,0,0,0,0,0,0,0,0,0
12,19722687,17415500,20615479,20476514,19458774,19661809,20452695,18331566,19628513,20753202,17906599,17968163,0,0,0,0,0,0,0,0,0,0,0,0
13,3584564,3007759,3543947,3854972,3647392,3297312,3746019,3456575,3395052,3594524,3130617,3140424,0,0,0,0,0,0,0,0,0,0,0,0
14,623964849,606143540,667375078,645424540,634884125,646216613,668106792,614440205,643104567,655212973,611182584,619833957,4405652,4974595,5611479,4602941,4973104,6225785,4528673,4618008,6106057,4583858,4796567,5909849
15,6882296,6055681,6162948,8293851,7951924,6409791,6855617,6018915,6933554,8957684,7457934,7664708,0,0,0,0,0,0,0,0,0,0,0,0
16,250000,367516,517255,764140,578636,502341,693488,700868,736095,1583621,1302487,1134429,50000,50000,30000,50000,30000,30000,50000,70000,80000,100000,60000,60000
17,1025788,863385,806827,1155764,1124030,826176,813751,856593,994232,1222159,1080956,1024091,0,0,0,0,0,0,0,0,0,0,0,0
18,1424364,1194850,1371742,1359935,1276783,1222734,1255863,1210673,1466587,1508883,1256006,1320432,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,508957,245721,378950,574783,454159,418075,429883,427004,392129,309791,375737,354646
20,1201192,1082765,1303750,1255237,1201486,1303688,1209392,1034521,1147138,1363581,1184143,1187191,0,0,0,0,0,0,0,0,0,0,0,0
21,940058,798053,1034930,977691,996685,983520,800251,659911,842861,860249,813460,755382,0,0,0,0,0,0,0,0,0,0,0,0
22,4217344,4157448,4165458,4566295,4322102,4313244,4573419,4263830,4244954,4658946,4450463,4100284,0,0,0,0,0,0,0,0,0,0,0,0
