"","X0DP1","X0DP2","X0DP3","X1DP1","X1DP2","X1DP3","X3DP1","X3DP2","X3DP3","X7DP1","X7DP2","X7DP3","X0DA1","X0DA2","X0DA3","X1DA1","X1DA2","X1DA3","X3DA1","X3DA2","X3DA3","X7DA1","X7DA2","X7DA3","PC1","PC2","PC3","pc1.change","pc2.change"
"11.912/1280.85146076639",88461437,83407513,94103695,93526731,88857308,91402789,99485712,86408565,92360310,97131415,86447605,87881221,5e+05,485684,462348,433426,495927,442516,378230,608856,560559,591248,455664,550930,-0.230413101286842,-0.103632269929141,0.0453402088379082,"DOWN","DOWN"
"16.191/1419.68598681524",1214434,1426091,1040552,1386102,894725,1225336,1416033,840576,1025436,1301894,1067314,638793,319396.5,319396.5,319396.5,319396.5,319396.5,319396.5,319396.5,319396.5,319396.5,319396.5,319396.5,319396.5,-0.109725125336877,-0.0998832145335514,0.0439492670599794,"DOWN","DOWN"
"16.908/1443.21509830232",1958204,1692511,1844356,1685944,1496004,1571939,1474716,1e+06,1147550,1006480,404098,560885,202049,202049,202049,202049,202049,202049,202049,202049,202049,202049,202049,202049,-0.127293745842406,-0.2176308629084,0.0767011993882067,"DOWN","DOWN"
"18.959/1510.7521008806",4e+05,394321,686056,669757,550000,274100,513787,355056,462563,424594,831087,104567,52283.5,52283.5,52283.5,52283.5,52283.5,52283.5,52283.5,52283.5,52283.5,52283.5,52283.5,52283.5,-0.141494503063568,-0.131477271409426,0.0705960234549531,"DOWN","DOWN"
"23.877/1679.57166889966",1107281,1015455,978997,1069972,838915,867414,972466,775496,623590,1043549,589229,867270,294614.5,294614.5,294614.5,294614.5,294614.5,294614.5,294614.5,294614.5,294614.5,294614.5,294614.5,294614.5,-0.103022842573122,-0.0999527767087577,0.0325841999830397,"DOWN","DOWN"
"5.303/1019.92814171123",179715111,168716306,172987382,182432571,172031965,167138976,186411767,166510814,164555728,185327495,163441358,157564810,395898,336228,332450,298288,323551,476969,399524,409573,412664,366892,402450,438811,-0.249362089471981,-0.116734815824383,0.0626267131234446,"DOWN","DOWN"
"5.377/1023.63803475936",220476339,206818874,222438879,225979379,216472798,209053410,235214665,206504216,210756923,234212025,206335842,198114435,388802,401457,487978,449974,621363,547453,415540,359329,597383,562341,294230,405918,-0.250304280375197,-0.117500960895654,0.0533355302640122,"DOWN","DOWN"
"9.435/1197.3376",623964849,606143540,667375078,645424540,634884125,646216613,668106792,614440205,643104567,655212973,611182584,619833957,4405652,4974595,5611479,4602941,4973104,6225785,4528673,4618008,6106057,4583858,4796567,5909849,-0.221602927179567,-0.102625538632643,0.04146794302509,"DOWN","DOWN"
"10.505/1233.60322376031",1025788,863385,806827,1155764,1124030,826176,813751,856593,994232,1222159,1080956,1024091,403413.5,403413.5,403413.5,403413.5,403413.5,403413.5,403413.5,403413.5,403413.5,403413.5,403413.5,403413.5,-0.0944699767126985,-0.0168296826190778,0.0127533929004448,"DOWN","none"
"10.987/1249.78918697064",1201192,1082765,1303750,1255237,1201486,1303688,1209392,1034521,1147138,1363581,1184143,1187191,517260.5,517260.5,517260.5,517260.5,517260.5,517260.5,517260.5,517260.5,517260.5,517260.5,517260.5,517260.5,-0.0926426764360517,-0.0418190382304058,0.0238406224521929,"DOWN","none"
"11.073/1252.67713891273",940058,798053,1034930,977691,996685,983520,800251,659911,842861,860249,813460,755382,329955.5,329955.5,329955.5,329955.5,329955.5,329955.5,329955.5,329955.5,329955.5,329955.5,329955.5,329955.5,-0.0974465406065897,-0.089149513761807,0.0394101684105155,"DOWN","none"
"13.327/1327.1729807005",150000,3e+05,280000,530447,3e+05,250000,585148,4e+05,301130,464229,460351,293160,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,-0.123897010606563,0.0467427427172507,0.00855770113092467,"DOWN","none"
"15.299/1390.60400285919",577775,412500,576865,640273,458180,456156,715274,403187,418018,747268,540207,379284,189642,189642,189642,189642,189642,189642,189642,189642,189642,189642,189642,189642,-0.0998087590219275,-0.0431664470659291,0.0354613948145554,"DOWN","none"
