"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24"
"5.043/1006.89338235294",-0.0884588773489442,-0.0355775573110232,0.0203841677263122,-0.00935764541647148,-0.0147726022005509,-0.00825250835542717,0.0565647314602808,0.00996685273206509,0.0119976866986829,0.00115693851698016,0.0503050890735296,-0.00450939037409852,-0.00968869810715311,-0.0425900503500562,0.0562454040852895,-0.02259246810078,-0.0421897914992934,0.0169713702564437,0.0502633263917551,-0.0238608394335798,0.0416523227359761,0.00730440822072233,0.00273940971144898,0.138533100637682
"5.303/1019.92814171123",-0.249362089471981,-0.116734815824383,0.0626267131234446,0.0125289474712308,-0.044960856646912,0.0406168137583876,-0.0494544603924974,-0.0772973203266199,0.0104093197089551,-0.0877208882587504,-0.0130960359852733,-0.0249715583803866,0.0572083788506255,0.0580662450736718,-0.0561960429258072,-0.0582824423305247,0.138776398493667,0.0541917702174863,0.0480536757351243,0.0439461606919706,0.168039468115661,0.144589578060255,0.148943616842896,0.0191503579272584
"5.377/1023.63803475936",-0.250304280375197,-0.117500960895654,0.0533355302640122,-0.0703738377022456,-0.0501625079042769,-0.0130144397460447,-0.0430327448490335,-0.0956715002093804,0.032796299784347,-0.0916475263783331,-0.0472192046166658,-0.0588990018095697,-0.073596895727859,0.000261775317985707,-0.147120850155299,-0.141797723456823,0.147372171979418,0.0764000860176411,0.0368837299001926,-0.0261339756744949,0.0222279647723027,0.234785931291674,-0.19076729448197,-0.00216622003725999
"6.112/1060.48629679144",-0.0881107656374727,-0.034322367717055,0.0189048912185354,-0.00972807323990152,-0.014919431941321,-0.00742890771309898,0.0474836688927865,-0.00287696859616462,0.000448734881179244,0.00211581203312622,0.0404425420114835,0.0126566620654886,-0.00225096497655816,-0.0421958432883954,0.00276974697236037,0.0308895457262567,-0.0221819000127813,0.034626156491015,0.0527423588529572,0.0429151104590992,0.00421349337598513,0.00699480198422219,-0.000925049613507399,0.0323992080340648
"6.182/1063.99565508021",0.0804850455177342,0.0711408259060266,0.423177859319416,-0.153179891562349,-0.0465191588067746,0.348168756592183,-0.113396368620486,-0.0128139993248148,0.014974776811365,0.208748668076814,-0.0729332355495048,-0.067209787384659,-0.0572977551708841,0.160232967040369,0.268054197569098,0.289359759986395,-0.219669044099359,-0.0825077588724026,0.0029215744509632,0.0895520362001196,-0.118701071116477,0.133868031193443,-0.00376359192963296,-0.0379237827698829
"6.471/1078.48429144385",0.0113176965637294,0.00661523562725828,0.0186660033913945,-0.177584693348845,-0.0168594405230805,-0.00722086613844242,-0.111486516919174,0.409241939653937,-0.524165908392221,-0.0608430788959957,0.147145827516456,0.0506774752570695,-0.242615726791676,-0.13777193438576,0.0581748908069638,-0.0322213613174582,0.194656392875064,0.0376312925696666,0.082034649477295,-0.0902830694653132,-0.214577596740976,0.0566295605279904,-0.210140426586541,-0.0363200176108531
"7.058/1106.0608",-0.0883734471369765,-0.0353210967668956,0.0196469850190246,-0.00894585986328244,-0.0200507754403112,-0.00700210117522337,0.0563084774405049,0.0033995302680987,0.00203652895198085,0.00294128131030162,0.0378783749591899,0.00412020238841155,-0.00607560411956554,-0.0313314309029019,0.0291196956285755,-0.00158052791806042,-0.0256943768873452,0.0381235246329317,0.0392842909991447,-0.0262179855473858,0.045433734683843,0.0177871158385774,-0.00179527196023098,-0.0717107528295757
"7.379/1118.3872",-0.0908686581134187,-0.0512464645763287,0.025091376076036,-0.00864228608788003,-0.0216116347108932,-0.0059728293749701,0.0726598098064677,0.0064853526122797,0.00139658772120295,-0.0047396510874839,0.0283256157678874,0.0253903598411048,-0.0135647310242075,-0.03486693312765,0.0373697080933289,-0.00397847625683983,-0.0316519386056864,0.0183960803692541,0.0188029057970454,-0.034584299717622,0.0378868355227036,0.00999350217841477,-0.00237793275487198,0.0821226425939015
"7.643/1128.5248",-0.0897826136450077,-0.0279161228579074,0.0182889330922887,-0.00725992233591307,-0.0361227406743832,-0.00680307866141114,0.0517011187463861,0.0160947091648585,0.00855111504853876,-0.00556844449102575,0.00322349886033833,0.00412923229183474,0.000599648147221038,-0.0708302320097398,0.0613477615416941,-0.027635445241016,-0.0343090332449671,-0.0291371717028461,-0.0167319974534083,-0.0992729903202914,0.0654641894532418,0.0073974048654912,0.00251328437904404,0.135764329222465
"7.791/1134.208",-0.105775365079222,0.0775527200649661,-0.00531953789238472,-0.0124690175412397,-0.00203164316768859,-0.0138780254379157,0.0325066443432435,0.0748687835943807,0.0293138243836184,0.0509026183629703,-0.0415636692943116,-0.0123418006106185,0.0375392115612737,-0.0390752334378254,-0.0542776668084055,0.0473197950548475,0.0100223681514459,0.0564089798736663,-0.0474978252115405,-0.0621835109461788,0.0450918321980364,0.0103435659240039,0.00204872128167489,-0.153377977294079
"8.088/1145.6128",-0.087336534011057,-0.040283984422677,0.0208050502305275,-0.00762286071214596,-0.00834139265297285,-0.00347106515898812,0.0353652648578415,-0.0181224941581384,-0.0101719248255077,-0.019305601084506,0.0125576247528381,0.0213013164225438,-0.0105047625550868,-0.0204579756185763,0.03421102373926,-0.0265278965823538,0.00400928935364647,-0.00491617598243445,0.00693897936684057,-0.0102782992507698,0.0237149499136223,0.0035468312571014,-0.00646239192748591,0.122084528240999
"8.483/1160.7808",-0.0901063762692872,-0.0449654007078764,0.0245927263108397,-0.00830516874383503,0.0113100055528679,-0.00328069986501234,0.0365146029539889,-0.0200566045570495,-0.00709797022793278,-0.0362578723221209,0.00776211803909988,0.0477735471546064,-0.0218944545600803,-0.0424660208529553,0.0564157739340595,-0.0235733025801545,-0.0175932536848994,0.016020504429274,-0.0674302704774559,0.00602608950808822,-0.0150333911600376,-0.0384147162734457,5.47430188466697e-05,0.195662241277724
"8.896/1176.64",-0.0917904799868491,-0.0445912982234723,0.0249527089965228,-0.0109394333399689,0.0269585913465185,-0.00643250355839401,0.0510065785129941,-0.0204477404374999,-0.0138918676650274,-0.0169293783488814,0.0153827172683693,0.0508666973283739,-0.0169448664044686,-0.0507209804112482,0.0245935064735636,0.0168273649024411,-0.0477737033205548,0.100652635424174,0.0464321744759273,0.123217813757675,-0.0465091853675407,-0.0388590288361245,0.00649980394353561,0.152763549759452
"9.435/1197.3376",-0.221602927179567,-0.102625538632643,0.04146794302509,-0.0208099020990994,-0.0352750529556291,0.0734794908892294,-0.0479123508893648,-0.0834429439547367,0.0153756547346292,-0.0846598843436773,-0.0337520478874935,-0.0271302525741888,-0.000922025300570673,0.0192029210478236,-0.06953976227589,-0.0879943450278097,0.165886778998742,0.0458808093157812,0.0560170034293223,-0.0343440453030155,0.0739725445905981,0.0445520306940788,-0.098402097101773,0.0930609092957298
"9.679/1205.86545278161",-0.0938150934442838,-0.0052034963589387,0.0125667407078474,-0.00865188645206725,0.00100179898307749,-0.0159045689455719,-0.0528530240158032,0.090490032629253,0.0961106671062431,-0.018564050092997,-0.00158678196638995,0.0178000783071498,0.02576695397437,-0.184921386453448,0.0191578850986843,0.0752277650928199,-0.098666244998118,0.122791413998581,-0.0203479726073655,-0.0291895648065464,0.041781473684142,-0.016676531154994,0.0253373308311363,0.15241355473975
"10.384/1229.53994253946",-0.162015170507429,0.0914015678409116,0.0606519698261225,0.177530636920243,-0.0794083352216502,-0.0820167622625024,-0.113693944305282,0.165187336834378,-0.0314492124225721,0.00812709158527302,-0.264484842280177,-0.196235789742319,-0.0858840831431225,0.0342780882091311,0.270822060688633,-0.0397984763321997,-0.134040199355719,0.0903696224339759,-0.120307756644279,-0.0336084358088829,-0.236024286497056,0.289886725267934,-0.227808608519504,0.0159562588383547
"10.505/1233.60322376031",-0.0944699767126985,-0.0168296826190778,0.0127533929004448,-0.00572050881184339,-0.0223482180786638,-0.0154950605759826,-0.0891470982947475,0.127957815294528,0.122227245838302,-0.0152387735102068,-0.0318887240218177,0.0264437698095013,0.0467955574927389,-0.169867434049377,-0.0666898755040009,0.145244099046312,-0.0480776640629186,0.264869353999253,-0.0772634934937966,0.0324367751506002,0.0236569862618695,-0.0192343975642572,0.0244599426001767,-0.0901813099143059
"10.797/1243.4088280288",-0.0896353802368689,-0.0388580998222414,0.0188731143116544,-0.00434110375157011,-0.0540792478823235,-0.00143247921408864,-0.00567958378793206,-0.00785664909692854,0.013775983165903,-0.0588950946702265,-0.0157947204851597,0.0704960860597527,-0.00695842329152934,-0.098200502074362,0.0205685822743353,0.0452356755629417,-0.00639869408020399,0.074960114157922,-0.201089123104516,0.0165758511916925,-0.0462246341625569,-0.0701569305519608,0.00677211745301968,0.0156688892557775
