"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24"
"X0DP1",-6.47768001107508,-4.17874400015365,0.276874431525326,-0.0567562003168168,-1.1131210492784,0.0293213435540922,0.0673728007986097,0.19514743729246,0.617070218039045,-0.339259274640021,1.06005274200933,0.665235096522402,-0.305803578106283,0.148999551141865,-0.359644290061534,0.583011844406255,-0.0560465429116658,0.00463825488364776,-0.0295534376475675,0.196097033258027,-0.148211698973489,-0.0125587820432315,-0.00716106974879133,8.451572774959e-15
"X0DP2",-5.50252461193473,-4.2580468358909,0.0133341096242683,0.0978652384484388,-1.11530145076253,-0.0488190056891835,-0.475335363107387,-0.211076286908653,-0.329915614834056,0.506627291657383,0.0370084209938335,-1.02589533161291,0.448869669923452,-0.04525016041532,-0.174266708062519,0.0324741285667517,0.284858669748494,-0.0121437681810569,0.122930140800015,-0.309099355360016,0.264145110883705,0.161186240516124,-0.0116221998208044,8.71525074330748e-15
"X0DP3",-6.26323001938196,-4.00262845788352,0.494065418355839,0.185894918621633,-0.707972683785244,0.137098977260072,0.490448559530034,-0.180385107478786,-0.249475868394686,-0.528420260090818,-0.897197032141188,0.370540071355863,-0.197258467928016,-0.107433315761647,0.672182805620729,-0.780176842571884,-0.114658196015197,-0.146108297520606,0.0254983374091889,0.113776345212953,-0.0707068945670343,-0.115551904107242,0.0129718694741326,8.71525074330748e-15
"X1DP1",-8.87563163834397,-1.03347626072892,0.269486925276044,-0.153722314848744,1.51807322354234,-0.252772066968903,0.000236926652930847,0.432952324149707,0.194610072783877,0.53075733824009,0.125703084625655,-0.842251223689767,0.358837513312174,-0.754263410007436,0.145634123030281,0.0971363666658474,-0.143470123810028,0.126036866647297,-0.0864531260687166,0.406941726967405,-0.229251727008272,-0.16634863676723,0.0338749386886694,9.08995101411847e-15
"X1DP2",-7.98410416806091,-0.963788125911321,0.214460550407616,-0.0503778681697128,1.69509321334223,-0.0264460211392179,-0.560710110889489,0.218149950830623,0.124874969912818,-0.192905493974681,-0.666356482008452,0.715371808425717,-0.0370977243658403,-0.238956296154895,-0.218333984916012,0.270459732991406,-0.35925826587374,0.347034885511138,0.468426741940045,-0.192075520794941,0.21099558653884,0.144556214311636,-0.00650856214530732,8.85402862138562e-15
"X1DP3",-7.88667932949195,-0.65937407023909,0.271831373071252,-0.0682270588255035,2.15885699188847,0.0603339970859691,-0.530583801490035,-0.145611545000423,0.25104886796709,-0.329392435969923,0.702861173242182,-0.0649980053783293,-0.287675580102103,0.676902345988588,0.232848414385486,-0.354768270827704,0.281819113268957,-0.279389897177813,-0.374201644604639,-0.242394778964249,0.0403550945252451,0.0123003204734809,-0.0181636185419743,8.50708392619026e-15
"X3DP1",-10.147960671783,2.04746269847883,-0.0247101366679995,-0.255258694108277,0.23840819640991,-0.0613405828990253,1.58804300627518,-0.515033416013908,-0.587139857846283,0.427537931435517,0.510547191981598,0.0229725086197361,-0.0864119538721066,-0.0647070776406179,0.00894896999657604,0.128278469910547,-0.239416099985921,-0.5995695645407,0.412058645534545,-0.0493902803979203,0.0187710829340982,0.0781916661203493,-0.00862300208892808,9.15933995315754e-15
"X3DP2",-8.24673362285492,1.38598658719804,-0.216304628856214,0.00446390668414838,-0.0979500382034734,0.0984235115603306,0.367842777061338,-0.605901098571263,-0.6207719808877,0.191114726900136,0.058956909161112,-0.134179743353212,-0.0936963621299564,0.938561954915913,-0.169870474365434,-0.227310402031546,0.271671871524476,0.742975122698058,0.160130182208682,0.281146820287417,-0.0470251662650932,-0.022719743907144,-0.00428454491918812,8.2572837456496e-15
"X3DP3",-8.56251810399782,0.873362008631935,-0.0337599090629553,0.0267266567785242,-0.0655969222764021,0.105013140066099,0.0824693279237814,-0.682732560792618,-0.809121399448586,-0.0921930493506747,-0.865606748278871,0.381638632992053,0.184959971641802,-0.300878437276787,-0.444648968106424,0.562224396420758,0.250044654492411,-0.0986803186464243,-0.631304819644589,-0.0715299815820596,-0.0902757578725059,-0.041955944852249,-0.00771187990237299,8.86790640919344e-15
"X7DP1",-10.3238786883181,2.66221858800109,-0.0820734931675048,0.011773321101364,-1.09142697237545,-0.0758319079266754,0.67629401889544,0.631797667845041,0.460828234385629,0.0607826071732668,0.351335794270931,-0.0550277937975606,-0.136920173998211,-0.276750236884673,0.477324291151063,-0.0591632124115406,-0.41989719274946,0.464654501346469,-0.357896430324272,-0.358533213376949,0.142366428563733,-0.0209345411588026,0.0151606087122796,8.64586180426841e-15
"X7DP2",-9.16864766686561,2.13685431484249,-0.147179120416297,0.125161701501122,-0.592007543792042,-0.0165271980732347,-0.0377382679735266,1.49559564690156,0.804462759914856,0.296117360183103,-0.770876506964835,0.0238503327997267,0.172283208819326,0.481490246843226,-0.400061999580608,-0.166868988988176,0.400468642469017,-0.35409835033238,0.096954859076493,0.0874249853466067,-0.0336404015397556,0.0102359455180073,-0.00699443652784992,8.79851747015437e-15
"X7DP3",-9.0270807780506,3.54423956686463,-0.690452121837467,0.0648997126770341,-1.01328975050785,0.044070467645265,-1.85488122660467,-0.748372183188347,0.114980534653882,-0.644926467120216,0.322776517021243,-0.0566377047569732,0.00625971994028363,-0.415200073053511,0.194400798224842,-0.135357017158797,-0.0245938213166076,-0.171632692740027,0.213728549885561,0.141010400303802,-0.0292930501983346,-0.00796134498778669,0.00345476293589642,8.43769498715119e-15
"X0DA1",7.93064855853125,-0.428984590192866,-2.88132198344749,0.436899864691312,0.188067803981823,-0.370880290849351,0.104462602968017,0.10562493400951,-0.0427640799318176,0.224794668345595,0.0288848258535686,0.270799762839025,0.0828377558041187,-0.010245907841249,0.301126106351086,-0.00606877209124916,0.00621772081223804,-0.0413602645020959,-0.205544070620503,0.266799421299307,0.156150566852283,0.445736064826528,0.261918460010254,8.23993651088983e-15
"X0DA2",7.52647673244027,-0.860823090241332,-2.96413032173476,0.47880611369384,-0.00357797615212315,-0.429907178126344,-0.461052156008717,-0.014658999676536,-0.190174973649698,0.679915911208227,-0.0455294403817894,0.156609426815965,0.10173194181367,0.381702409796073,-0.0983899111080395,-0.0179588036400617,-0.504717941426624,-0.0853438229045391,0.0218911796211559,-0.167777721450691,-0.10278180357478,-0.422789612726864,-0.139641614651773,8.08381139805192e-15
