"","PC1","PC2","PC3","pc1.change","pc2.change"
"5.303/1019.92814171123",-0.249362089471981,-0.116734815824383,0.0626267131234446,"DOWN","DOWN"
"5.377/1023.63803475936",-0.250304280375197,-0.117500960895654,0.0533355302640122,"DOWN","DOWN"
"7.379/1118.3872",-0.0908686581134187,-0.0512464645763287,0.025091376076036,"DOWN","none"
"7.791/1134.208",-0.105775365079222,0.0775527200649661,-0.00531953789238472,"DOWN","none"
"8.483/1160.7808",-0.0901063762692872,-0.0449654007078764,0.0245927263108397,"DOWN","none"
"8.896/1176.64",-0.0917904799868491,-0.0445912982234723,0.0249527089965228,"DOWN","none"
"9.435/1197.3376",-0.221602927179567,-0.102625538632643,0.04146794302509,"DOWN","DOWN"
"9.679/1205.86545278161",-0.0938150934442838,-0.0052034963589387,0.0125667407078474,"DOWN","none"
"10.384/1229.53994253946",-0.162015170507429,0.0914015678409116,0.0606519698261225,"DOWN","UP"
"10.505/1233.60322376031",-0.0944699767126985,-0.0168296826190778,0.0127533929004448,"DOWN","none"
"10.924/1247.67359426887",0.107852885559529,0.0554629988580218,0.0105699150071093,"UP","none"
"10.987/1249.78918697064",-0.0926426764360517,-0.0418190382304058,0.0238406224521929,"DOWN","none"
"11.073/1252.67713891273",-0.0974465406065897,-0.089149513761807,0.0394101684105155,"DOWN","none"
"11.912/1280.85146076639",-0.230413101286842,-0.103632269929141,0.0453402088379082,"DOWN","DOWN"
"13.327/1327.1729807005",-0.123897010606563,0.0467427427172507,0.00855770113092467,"DOWN","none"
"15.299/1390.60400285919",-0.0998087590219275,-0.0431664470659291,0.0354613948145554,"DOWN","none"
"15.314/1391.08649035025",0.118920365047739,0.0523596300470888,-0.0914027000001497,"UP","none"
"16.191/1419.68598681524",-0.109725125336877,-0.0998832145335514,0.0439492670599794,"DOWN","DOWN"
"16.259/1421.91747856018",-0.125022912947527,0.0262948077145376,0.0047785747859825,"DOWN","none"
"16.602/1433.17338545009",-0.0990997347104914,0.038747500695701,0.00161529559670948,"DOWN","none"
"16.724/1437.17694416895",-0.0923346451982759,-0.0253339385335383,0.0183479647656022,"DOWN","none"
"16.908/1443.21509830232",-0.127293745842406,-0.2176308629084,0.0767011993882067,"DOWN","DOWN"
"17.155/1451.32066390526",0.052176363620024,0.321763067434099,0.167573884460369,"none","UP"
"17.292/1455.81646345021",-0.107296980396756,-0.0639415705167023,0.0433167674491643,"DOWN","none"
"17.351/1457.75261069949",0.106088877108672,0.0448152594555904,-0.0904661300046958,"UP","none"
"17.578/1465.00495887054",-0.101597166000671,0.0425332308429419,0.00324615715132551,"DOWN","none"
"18.073/1481.44580246193",-0.0874292751687248,0.241737569353356,-0.0362195516532474,"none","UP"
"18.481/1494.83475293157",-0.08115630942339,0.193408964329036,-0.0229226760811774,"none","UP"
